Date,Description, Amount 
01/10/2023,Salary Deposit," 2,500.00 "
02/10/2023,Netflix Subscription,-15.99 
02/10/2023,Starbucks Coffee,-5.47 
03/10/2023,Uber Ride,-12.50 
03/10/2023,Grocery Store,-87.32 
04/10/2023,Electric Bill,-125.00 
05/10/2023,Spotify Premium,-9.99 
05/10/2023,Lunch Restaurant,-18.75 
06/10/2023,Gas Station,-45.00 
07/10/2023,Amazon Purchase,-34.99 
08/10/2023,Starbucks Coffee,-6.23 
09/10/2023,Uber Ride,-15.80 
10/10/2023,Gym Membership,-49.99 
10/10/2023,Mobile Phone Bill,-85.00 
11/10/2023,Grocery Store,-92.15 
12/10/2023,Netflix Subscription,-15.99 
12/10/2023,Coffee Shop,-4.50 
13/10/2023,Restaurant Dinner,-45.60 
14/10/2023,Gas Station,-42.00 
15/10/2023,Amazon Purchase,-34.99 
16/10/2023,Internet Bill,-79.99 
17/10/2023,Starbucks Coffee,-5.89 
18/10/2023,Uber Ride,-18.25 
19/10/2023,Grocery Store,-78.43 
20/10/2023,Lunch Cafe,-12.30 
21/10/2023,Movie Theater,-24.00 
22/10/2023,Spotify Premium,-9.99 
23/10/2023,Gas Station,-48.50 
24/10/2023,Starbucks Coffee,-6.15 
25/10/2023,Amazon Purchase,-27.89 
26/10/2023,Restaurant Dinner,-52.30 
27/10/2023,Uber Ride,-14.60 
28/10/2023,Grocery Store,-95.67 
29/10/2023,Gym Membership,-49.99 
30/10/2023,Netflix Subscription,-15.99 
31/10/2023,Utilities - Water,-45.00 
